Provider Number	Hospital Name
050724	BAKERSFIELD HEART HOSPITAL
050726	STANISLAUS SURGICAL HOSPITAL
050727	COMMUNITY HOSPITAL OF LONG BEACH
050732	FRESNO HEART AND SURGICAL HOSPITAL
050735	WHITTIER HOSPITAL MEDICAL CENTER
050736	MONTEREY PARK HOSPITAL
050737	GARFIELD MEDICAL CENTER
050738	GREATER EL MONTE COMMUNITY HOSPITAL
050739	CENTINELA HOSPITAL MEDICAL CENTER
050740	MARINA DEL REY HOSPITAL
050742	OLYMPIA MEDICAL CENTER
050744	WESTERN MEDICAL CENTER HOSP ANAHEIM
050745	CHAPMAN MEDICAL CENTER
050746	WESTERN MEDICAL CENTER SANTA ANA
050747	COASTAL COMMUNITIES HOSPITAL
050748	KAISER FOUNDATION HOSPITAL MANTECA
050751	MIRACLE MILE MEDICAL CENTER
050754	MENLO PARK SURGICAL HOSPITAL
050755	SHERMAN OAKS HOSPITAL
050757	ALVARADO HOSPITAL MEDICAL CENTER
050758	MONTCLAIR HOSPITAL MEDICAL CENTER
050760	KAISER FOUNDATION HOSPITAL - ANTIOCH
050761	PROVIDENCE TARZANA MEDICAL CENTER
050763	SILVER LAKE MEDICAL CENTER
050764	SHASTA REGIONAL MEDICAL CENTER
050765	KAISER FOUNDATION HOSPITAL-MORENO VALLEY
050766	SUTTER SURGICAL HOSPITAL - NORTH VALLEY
050767	KAISER FOUNDATION HOSPITAL - VACAVILLE
050769	HOAG ORTHOPEDIC INSTITUTE
050770	LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
050771	COAST PLAZA HOSPITAL
050772	KAISER FOUNDATION HOSPITAL - ROSEVILLE
050773	SAN LEANDRO HOSPITAL
05114F	VA SAN DIEGO HEALTHCARE SYSTEM
05127F	LOMA LINDA VA MEDICAL CENTER
05128F	VA GREATER LOS ANGELES HEALTHCARE SYSTEM
051300	EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS
051301	TEHACHAPI HOSPITAL
051302	SOUTHERN INYO HOSPITAL
051303	MAMMOTH HOSPITAL
051304	JOHN C FREMONT HEALTHCARE DISTRICT
051305	MAYERS MEMORIAL HOSPITAL
051306	GLENN MEDICAL CENTER
051307	CATALINA ISLAND MEDICAL CENTER
051308	SURPRISE VALLEY COMMUNITY HOSPITAL
051309	JEROLD PHELPS COMMUNITY HOSPITAL
05130F	SAN FRANCISCO VA MEDICAL CENTER
051310	FRANK R HOWARD MEMORIAL HOSPITAL
051311	BIGGS GRIDLEY MEMORIAL HOSPITAL
051312	MOUNTAINS COMMUNITY HOSPITAL
051314	KERN VALLEY HEALTHCARE DISTRICT
051315	TRINITY HOSPITAL
051316	FAIRCHILD MEDICAL CENTER
051317	ST HELENA HOSPITAL-CLEARLAKE
051318	REDWOOD MEMORIAL HOSPITAL
051319	MERCY MEDICAL CENTER MT SHASTA
051320	BANNER LASSEN MEDICAL CENTER
051321	HEALDSBURG DISTRICT HOSPITAL
051323	COLORADO RIVER MEDICAL CENTER
051324	NORTHERN INYO HOSPITAL
051325	MENDOCINO COAST DISTRICT HOSPITAL
051326	PLUMAS DISTRICT HOSPITAL
051327	SENECA DISTRICT HOSPITAL
051328	TAHOE FOREST HOSPITAL
051329	SUTTER LAKESIDE HOSPITAL
051330	MODOC MEDICAL CENTER
051331	SANTA YNEZ VALLEY COTTAGE HOSPITAL
051332	MARK TWAIN MEDICAL CENTER
053302	CHILDREN'S HOSP OF LOS ANGELES
053305	LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD
053309	MILLER CHILDREN'S HOSPITAL
060001	NORTH COLORADO MEDICAL CENTER
060003	LONGMONT UNITED HOSPITAL
060004	PLATTE VALLEY MEDICAL CENTER
060006	MONTROSE MEMORIAL HOSPITAL
060008	SAN LUIS VALLEY REGIONAL MEDICAL CENTER
060009	EXEMPLA LUTHERAN MEDICAL CENTER
060010	POUDRE VALLEY HOSPITAL
060011	DENVER HEALTH MEDICAL CENTER
060012	CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER
060013	MERCY REGIONAL MEDICAL CENTER
060014	PRESBYTERIAN ST LUKE'S MEDICAL CENTER
060015	CENTURA HEALTH-ST ANTHONY HOSPITAL
060016	CENTURA HEALTH-ST THOMAS MORE HOSPITAL
060020	PARKVIEW MEDICAL CENTER INC
060022	UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL
060023	ST MARYS HOSPITAL AND MEDICAL CENTER
060024	UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT
060027	BOULDER COMMUNITY HOSPITAL
060028	EXEMPLA SAINT JOSEPH HOSPITAL
060030	MCKEE MEDICAL CENTER
060031	CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES
060032	ROSE MEDICAL CENTER
060034	SWEDISH MEDICAL CENTER
060036	ARKANSAS VALLEY REGIONAL MEDICAL CENTER
060043	KEEFE MEMORIAL HOSPITAL
060044	COLORADO PLAINS MEDICAL CENTER
060049	YAMPA VALLEY MEDICAL CENTER
060054	COMMUNITY HOSPITAL
06005F	VA EASTERN COLORADO HEALTHCARE SYSTEM
060064	CENTURA HEALTH-PORTER ADVENTIST HOSPITAL
060065	NORTH SUBURBAN MEDICAL CENTER
060071	DELTA COUNTY MEMORIAL HOSPITAL
060075	VALLEY VIEW HOSPITAL ASSOCIATION
060076	STERLING REGIONAL MEDCENTER
06007F	GRAND JUNCTION VA MEDICAL CENTER
060096	VAIL VALLEY MEDICAL CENTER
060100	MEDICAL CENTER OF AURORA, THE
060103	CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL
060104	CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL
060107	NATIONAL JEWISH HEALTH
060112	SKY RIDGE MEDICAL CENTER
060113	CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL
060114	PARKER ADVENTIST HOSPITAL
060116	EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC
060117	ANIMAS SURGICAL HOSPITAL, LLC
060118	ST ANTHONY SUMMIT MEDICAL CENTER
060119	MEDICAL CENTER OF THE ROCKIES
060124	ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS
061301	RIO GRANDE HOSPITAL
061302	FAMILY HEALTH WEST HOSPITAL
061303	EAST MORGAN COUNTY HOSPITAL DISTRICT
061304	HAXTUN HOSPITAL DISTRICT
061305	MELISSA MEMORIAL HOSPITAL
061306	LINCOLN COMMUNITY HOSPITAL
061307	RANGELY DISTRICT HOSPITAL
061309	WRAY COMMUNITY DISTRICT HOSPITAL
061310	SEDGWICK COUNTY MEMORIAL HOSPITAL
061311	SOUTHEAST COLORADO HOSPITAL
061312	ESTES PARK MEDICAL CENTER
061313	KIT CARSON COUNTY MEMORIAL HOSPITAL
061314	MEMORIAL HOSPITAL, THE
061315	YUMA DISTRICT HOSPITAL - CAH
061316	SPANISH PEAKS REGIONAL HEALTH CENTER
061317	GRAND RIVER MEDICAL CENTER
061319	ST VINCENT HOSPITAL GENERAL DISTRICT
061320	GUNNISON VALLEY HOSPITAL
061321	MT SAN RAFAEL HOSPITAL
061322	HEART OF THE ROCKIES REGIONAL MEDICAL CENTER
061323	PROWERS MEDICAL CENTER
061324	ASPEN VALLEY HOSPITAL
061325	PIONEERS MEDICAL CENTER
061326	PIKES PEAK REGIONAL HOSPITAL
061327	SOUTHWEST MEMORIAL HOSPITAL
061328	PAGOSA SPRINGS MEDICAL CENTER
063301	CHILDRENS HOSPITAL COLORADO
070002	ST FRANCIS HOSPITAL & MEDICAL CENTER
070003	DAY KIMBALL HOSPITAL
070004	SHARON HOSPITAL
070005	WATERBURY HOSPITAL
070006	STAMFORD HOSPITAL
070007	LAWRENCE & MEMORIAL HOSPITAL
070008	JOHNSON MEMORIAL HOSPITAL
070010	BRIDGEPORT HOSPITAL
070011	CHARLOTTE HUNGERFORD HOSPITAL
070012	ROCKVILLE GENERAL HOSPITAL
070015	NEW MILFORD HOSPITAL
070016	SAINT MARYS HOSPITAL
070017	MIDSTATE MEDICAL CENTER
070018	GREENWICH HOSPITAL ASSOCIATION
070019	MILFORD HOSPITAL, INC
070020	MIDDLESEX HOSPITAL
070021	WINDHAM COMM MEM HOSP & HATCH HOSP
070022	YALE-NEW HAVEN HOSPITAL
070024	WILLIAM W BACKUS HOSPITAL
070025	HARTFORD HOSPITAL
070027	MANCHESTER MEMORIAL HOSPITAL
070028	ST VINCENT'S MEDICAL CENTER
070029	BRISTOL HOSPITAL
070031	GRIFFIN HOSPITAL
070033	DANBURY HOSPITAL
070034	NORWALK HOSPITAL ASSOCIATION
070035	HOSPITAL OF CENTRAL CONNECTICUT, THE
070036	JOHN DEMPSEY HOSPITAL
070039	MASONIC HOME AND HOSPITAL
07003F	WEST HAVEN VA MEDICAL CENTER
070040	HEBREW HOME AND HOSPITAL INC
073300	CONNECTICUT CHILDRENS MEDICAL CENTER
080001	CHRISTIANA CARE HEALTH SERVICES, INC.
080003	ST FRANCIS HOSPITAL
080004	BAYHEALTH - KENT GENERAL HOSPITAL
080006	NANTICOKE MEMORIAL HOSPITAL
080007	BEEBE MEDICAL CENTER
080009	BAYHEALTH - MILFORD MEMORIAL HOSPITAL
08002F	WILMINGTON VA MEDICAL CENTER
090001	GEORGE WASHINGTON UNIV HOSPITAL
090003	HOWARD UNIVERSITY HOSPITAL
090004	MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL
090005	SIBLEY MEMORIAL HOSPITAL
090006	PROVIDENCE HOSPITAL
090008	UNITED MEDICAL CENTER
090011	MEDSTAR WASHINGTON HOSPITAL CENTER
09002F	WASHINGTON DC VA MEDICAL CENTER
093300	CHILDREN'S HOSPITAL NMC
100001	SHANDS JACKSONVILLE MEDICAL CENTER
100002	BETHESDA  HOSPITAL EAST
100006	ORLANDO HEALTH
100007	FLORIDA HOSPITAL
100008	BAPTIST HOSPITAL OF MIAMI INC
100009	UNIVERSITY OF MIAMI HOSPITAL
100012	LEE MEMORIAL HOSPITAL
100014	BERT FISH MEDICAL CENTER
100017	HALIFAX HEALTH MEDICAL CENTER
100018	NAPLES COMMUNITY HOSPITAL
100019	HOLMES REGIONAL MEDICAL CENTER
100022	JACKSON MEMORIAL HOSPITAL
100023	CITRUS MEMORIAL HOSPITAL
100025	SACRED HEART HOSPITAL
100026	BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM
100028	PARRISH MEDICAL CENTER
100029	NORTH SHORE MEDICAL CENTER
100030	HEALTH CENTRAL
100032	BAYFRONT MEDICAL CENTER INC
100034	MOUNT SINAI MEDICAL CENTER
100035	MANATEE MEMORIAL HOSPITAL
100038	MEMORIAL REGIONAL HOSPITAL
100039	BROWARD HEALTH MEDICAL CENTER
100040	ST VINCENT'S MEDICAL CENTER
100043	MEASE HOSPITAL DUNEDIN
100044	MARTIN MEDICAL CENTER
100045	FLORIDA HOSPITAL DELAND
100046	FLORIDA HOSPITAL ZEPHYRHILLS
100047	CHARLOTTE REGIONAL MEDICAL CENTER
100048	JAY HOSPITAL
100049	HIGHLANDS REGIONAL MEDICAL CENTER
100050	PALM SPRINGS GENERAL HOSPITAL
100051	SOUTH LAKE HOSPITAL
100052	WINTER HAVEN HOSPITAL
100053	HIALEAH HOSPITAL
100054	TWIN CITIES HOSPITAL
100055	FLORIDA HOSPITAL NORTH PINELLAS
100057	FLORIDA HOSPITAL WATERMAN
100062	MUNROE REGIONAL MEDICAL CENTER
100063	MORTON PLANT NORTH BAY HOSPITAL
100067	ST ANTHONY'S HOSPITAL
100068	FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER
100069	FLORIDA HOSPITAL CARROLLWOOD
100070	VENICE REGIONAL MEDICAL CENTER
100071	BROOKSVILLE REGIONAL HOSPITAL
100072	FLORIDA HOSPITAL FISH MEMORIAL
100073	HOLY CROSS HOSPITAL INC
100075	ST JOSEPH'S HOSPITAL
100076	METROPOLITAN HOSPITAL OF MIAMI
100077	PEACE RIVER REGIONAL MEDICAL CENTER
100080	JFK MEDICAL CENTER
100081	HEALTHMARK REGIONAL MEDICAL CENTER
100084	LEESBURG REGIONAL MEDICAL CENTER
100086	BROWARD HEALTH NORTH
100087	SARASOTA MEMORIAL HOSPITAL
100088	BAPTIST MEDICAL CENTER
100090	FLAGLER HOSPITAL
100092	WUESTHOFF MEDICAL CENTER  ROCKLEDGE
100093	BAPTIST HOSPITAL
100099	LAKE WALES MEDICAL CENTER
10009F	BAY PINES VA MEDICAL CENTER
100102	SHANDS LAKE SHORE REGIONAL MEDICAL CENTER
100105	INDIAN RIVER MEDICAL CENTER
100106	DOCTOR'S MEMORIAL HOSPITAL INC
100107	LEHIGH REGIONAL MEDICAL CENTER
100109	FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER
100110	OSCEOLA REGIONAL MEDICAL CENTER
100113	SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA
100117	BAPTIST MEDICAL CENTER  BEACHES
100118	FLORIDA HOSPITAL FLAGLER
100121	BARTOW REGIONAL MEDICAL CENTER
100122	NORTH OKALOOSA MEDICAL CENTER
100124	SANTA ROSA MEDICAL CENTER
100125	HOMESTEAD HOSPITAL
100126	PALMS OF PASADENA HOSPITAL
100127	MORTON PLANT HOSPITAL
100128	TAMPA GENERAL HOSPITAL
100130	LAKESIDE MEDICAL CENTER
100131	AVENTURA HOSPITAL AND MEDICAL CENTER
100132	SOUTH FLORIDA BAPTIST HOSPITAL
100135	TALLAHASSEE MEMORIAL HOSPITAL
100137	HEART OF FLORIDA REGIONAL MEDICAL CENTER
100139	TRI COUNTY HOSPITAL - WILLISTON
100140	BAPTIST MEDICAL CENTER - NASSAU
100142	JACKSON HOSPITAL
100150	LOWER KEYS MEDICAL CENTER
100151	MAYO CLINIC
100154	SOUTH MIAMI HOSPITAL, INC
100156	LAKE CITY MEDICAL CENTER
100157	LAKELAND REGIONAL MEDICAL CENTER
100161	CENTRAL FLORIDA REGIONAL HOSPITAL
100166	DOCTORS HOSPITAL OF SARASOTA
100167	PLANTATION GENERAL HOSPITAL
100168	BOCA RATON REGIONAL HOSPITAL
100173	FLORIDA HOSPITAL TAMPA
100175	DESOTO MEMORIAL HOSPITAL
100176	PALM BEACH GARDENS MEDICAL CENTER
100177	CAPE CANAVERAL HOSPITAL
100179	MEMORIAL HOSPITAL JACKSONVILLE
100180	ST PETERSBURG GENERAL HOSPITAL
100181	LARKIN COMMUNITY HOSPITAL
100183	CORAL GABLES HOSPITAL
100187	PALMETTO GENERAL HOSPITAL
100189	NORTHWEST MEDICAL CENTER
100191	MEDICAL CENTER OF TRINITY
100200	BROWARD HEALTH IMPERIAL POINT
100204	NORTH FLORIDA REGIONAL MEDICAL CENTER
100206	MEMORIAL HOSPITAL OF TAMPA
100209	KENDALL REGIONAL MEDICAL CENTER
100211	PASCO REGIONAL MEDICAL CENTER
100212	OCALA REGIONAL MEDICAL CENTER
100213	BLAKE MEDICAL CENTER
100217	SEBASTIAN RIVER MEDICAL CENTER
100220	GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM
100223	FORT WALTON BEACH MEDICAL CENTER
100224	UNIVERSITY HOSPITAL AND MEDICAL CENTER
100226	ORANGE PARK MEDICAL CENTER
100228	WESTSIDE REGIONAL MEDICAL CENTER
100230	MEMORIAL HOSPITAL PEMBROKE
100231	WEST FLORIDA HOSPITAL
100232	PUTNAM COMMUNITY MEDICAL CENTER
100234	WEST PALM HOSPITAL
100236	FAWCETT MEMORIAL HOSPITAL
100238	NORTHSIDE HOSPITAL
100239	EDWARD WHITE HOSPITAL
100240	ANNE BATES LEACH EYE HOSPITAL
100242	GULF COAST MEDICAL CENTER
100243	BRANDON REGIONAL HOSPITAL
100244	CAPE CORAL HOSPITAL
100246	LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE
100248	LARGO MEDICAL CENTER
100249	SEVEN RIVERS REGIONAL MEDICAL CENTER
100252	RAULERSON HOSPITAL
100253	JUPITER MEDICAL CENTER
100254	CAPITAL REGIONAL MEDICAL CENTER
100255	TOWN & COUNTRY HOSPITAL
100256	REGIONAL MEDICAL CENTER BAYONET POINT
100258	DELRAY MEDICAL CENTER
100259	SOUTH BAY HOSPITAL
100260	ST LUCIE MEDICAL CENTER
100264	OAK HILL HOSPITAL
100265	MEASE COUNTRYSIDE HOSPITAL
100266	GULF BREEZE HOSPITAL
100267	ENGLEWOOD COMMUNITY HOSPITAL
100268	WEST BOCA MEDICAL CENTER
100269	PALMS WEST HOSPITAL
100275	WELLINGTON REGIONAL MEDICAL CENTER
100276	BROWARD HEALTH CORAL SPRINGS
100277	DOUGLAS GARDENS HOSPITAL
100281	MEMORIAL HOSPITAL WEST
100284	WESTCHESTER GENERAL HOSPITAL
100285	MEMORIAL HOSPITAL MIRAMAR
100286	PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE
100287	GOOD SAMARITAN MEDICAL CENTER
100288	ST MARY'S MEDICAL CENTER
100289	CLEVELAND CLINIC HOSPITAL
100290	VILLAGES REGIONAL HOSPITAL, THE
100291	WUESTHOFF MEDICAL CENTER - MELBOURNE
100292	SACRED HEART HOSPITAL ON THE EMERALD COAST
100296	DOCTORS HOSPITAL INC
100299	LAKEWOOD RANCH MEDICAL CENTER
100302	ST CLOUD REGIONAL MEDICAL CENTER
100307	ST VINCENT'S MEDICAL CENTER SOUTHSIDE
100313	SACRED HEART HOSPITAL ON THE GULF
100314	WEST KENDALL BAPTIST HOSPITAL
100315	VIERA HOSPITAL
100316	PALM BAY HOSPITAL
100319	FLORIDA HOSPITAL WESLEY CHAPEL
10057F	VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM
10063F	TAMPA VA MEDICAL CENTER
10064F	MIAMI VA MEDICAL CENTER
10065F	W PALM BEACH VA MEDICAL CENTER
101300	FLORIDA HOSPITAL WAUCHULA
101301	SHANDS LIVE OAK REGIONAL MEDICAL CENTER
101302	CAMPBELLTON GRACEVILLE HOSPITAL
101303	LAKE BUTLER HOSPITAL HAND SURGERY CENTER
101304	CALHOUN-LIBERTY HOSPITAL INC
101305	GEORGE E WEEMS MEMORIAL HOSPITAL
101307	DOCTORS MEMORIAL HOSPITAL
101308	NORTHWEST FLORIDA COMMUNITY HOSPITAL
101309	HENDRY REGIONAL MEDICAL CENTER
101310	SHANDS STARKE REGIONAL MEDICAL CENTER
101311	MADISON COUNTY MEMORIAL HOSPITAL
101312	FISHERMEN'S HOSPITAL
101313	MARINERS HOSPITAL
110001	HAMILTON MEDICAL CENTER
110002	UPSON REGIONAL MEDICAL CENTER
110003	MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC
110004	HUTCHESON MEDICAL CENTER
110005	NORTHSIDE HOSPITAL FORSYTH
110006	ST MARY'S HOSPITAL
110007	PHOEBE PUTNEY MEMORIAL HOSPITAL
110008	NORTHSIDE HOSPITAL CHEROKEE
110010	EMORY UNIVERSITY HOSPITAL
110011	TANNER MEDICAL CENTER - CARROLLTON
110015	TANNER MEDICAL CENTER VILLA RICA
110016	WEST GEORGIA MEDICAL CENTER
110018	NEWTON MEDICAL CENTER
110023	GORDON HOSPITAL
110024	CANDLER HOSPITAL
110025	SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS
110026	ELBERT MEMORIAL HOSPITAL
110027	TY COBB REGIONAL MEDICAL CENTER, LLC
110028	UNIVERSITY HOSPITAL
110029	NORTHEAST GEORGIA MEDICAL CENTER, INC
110030	CARTERSVILLE MEDICAL CENTER
110031	SPALDING REGIONAL HOSPITAL
110032	STEPHENS COUNTY HOSPITAL
110034	MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS
110035	WELLSTAR KENNESTONE HOSPITAL
110036	MEMORIAL HEALTH UNIV MED CEN, INC
110038	JOHN D ARCHBOLD MEMORIAL HOSPITAL
110039	TRINITY HOSPITAL OF AUGUSTA
110040	NORTHRIDGE MEDICAL CENTER
110041	HABERSHAM COUNTY MEDICAL CTR
110042	WELLSTAR PAULDING HOSPITAL
110043	ST JOSEPH'S HOSPITAL - SAVANNAH
110044	PHOEBE SUMTER MEDICAL CENTER
110045	BARROW REGIONAL MEDICAL CENTER
110046	CLEARVIEW  REGIONAL MEDICAL CENTER
110050	MURRAY MEDICAL CENTER
110051	UNION GENERAL HOSPITAL
110054	FLOYD MEDICAL CENTER
110064	MEDICAL CENTER, THE
110069	HOUSTON MEDICAL CENTER
110071	APPLING HOSPITAL
110073	DORMINY MEDICAL CENTER
110074	ATHENS REGIONAL MEDICAL CENTER
110075	EAST GEORGIA REGIONAL MEDICAL CENTER
110076	DEKALB MEDICAL CENTER
110078	EMORY UNIVERSITY HOSPITAL MIDTOWN
110079	GRADY MEMORIAL HOSPITAL
110082	SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC
110083	PIEDMONT HOSPITAL
110086	WASHINGTON COUNTY REGIONAL MEDICAL CENTER
110087	GWINNETT MEDICAL CENTER
110089	COFFEE REGIONAL MEDICAL CENTER
110091	ROCKDALE MEDICAL CENTER
110092	DODGE COUNTY HOSPITAL
110095	TIFT REGIONAL MEDICAL CENTER
110100	JEFFERSON HOSPITAL
110101	COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR
110104	CRISP REGIONAL HOSPITAL
110105	COLQUITT REGIONAL MEDICAL CENTER
110107	MEDICAL CENTER OF CENTRAL GEORGIA
110109	EMANUEL MEDICAL CENTER
110111	UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER
110113	BURKE MEDICAL CENTER
110115	ATLANTA MEDICAL CENTER
110121	GRADY GENERAL HOSPITAL
110122	SOUTH GEORGIA MEDICAL CENTER
110124	WAYNE MEMORIAL HOSPITAL
110125	FAIRVIEW PARK HOSPITAL
110128	MEADOWS REGIONAL MEDICAL CENTER
110129	ST FRANCIS HOSPITAL, INC
110130	IRWIN COUNTY HOSPITAL
110132	MEMORIAL HOSPITAL AND MANOR
110135	TAYLOR REGIONAL HOSPITAL
110142	EVANS MEMORIAL HOSPITAL
110143	WELLSTAR COBB HOSPITAL
110146	SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS
110150	OCONEE REGIONAL MEDICAL CENTER
110153	PERRY HOSPITAL
110161	NORTHSIDE HOSPITAL
110164	COLISEUM MEDICAL CENTER
110165	SOUTHERN REGIONAL MEDICAL CENTER
110168	REDMOND REGIONAL MEDICAL CENTER
110177	DOCTORS HOSPITAL
110183	EMORY-ADVENTIST HOSPITAL
110184	WELLSTAR DOUGLAS HOSPITAL
110186	DOCTORS HOSPITAL
110187	CHESTATEE REGIONAL HOSPITAL
110189	FANNIN REGIONAL HOSPITAL
110190	FLINT RIVER HOSPITAL
110191	PIEDMONT HENRY HOSPITAL
110192	EMORY EASTSIDE MEDICAL CENTER
110194	DONALSONVILLE HOSPITAL INC
110198	NORTH FULTON HOSPITAL
110200	HUGHSTON HOSPITAL
110201	COLISEUM NORTHSIDE HOSPITAL
110203	WESLEY WOODS GERIATRIC HOSPITAL
110205	NORTH GEORGIA MEDICAL CENTER
110209	TURNING POINT HOSPITAL
110215	PIEDMONT FAYETTE HOSPITAL
110225	PIEDMONT MOUNTAINSIDE HOSPITAL INC
110226	DEKALB MEDICAL CENTER AT HILLANDALE
110229	PIEDMONT NEWNAN HOSPITAL, INC
110230	EMORY JOHNS CREEK HOSPITAL
110233	SOUTHEASTERN REGIONAL MEDICAL CENTER
11029F	DECATUR (ATLANTA) VA MEDICAL CENTER
11030F	AUGUSTA VA MEDICAL CENTER
11031F	DUBLIN VA MEDICAL CENTER
111300	SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER
111302	BLECKLEY MEMORIAL HOSPITAL
111303	JASPER MEMORIAL HOSPITAL
111304	MORGAN MEMORIAL HOSPITAL
111305	MILLER COUNTY HOSPITAL
111306	EFFINGHAM COUNTY HOSPITAL
111308	CLINCH MEMORIAL HOSPITAL
111310	THE MEDICAL CENTER OF PEACH COUNTY
111313	PUTNAM GENERAL HOSPITAL
111314	PIONEER COMMUNITY HOSPITAL OF EARLY
111315	CHARLTON MEMORIAL HOSPITAL
111316	WARM SPRINGS MEDICAL CENTER
111318	MONROE COUNTY HOSPITAL
111319	SYLVAN GROVE HOSPITAL
111320	HIGGINS GENERAL HOSPITAL
111321	LOWER OCONEE COMMUNITY HOSPITAL, INC
111324	CHATUGE REGIONAL HOSPITAL
111325	WILLS MEMORIAL HOSPITAL
111326	LOUIS SMITH MEMORIAL HOSPITAL
111327	BACON COUNTY HOSPITAL
111328	PHOEBE WORTH MEDICAL CENTER
111329	GOOD SAMARITAN HOSPITAL, INC
111330	POLK MEDICAL CENTER
111331	MITCHELL COUNTY HOSPITAL
111332	BROOKS COUNTY HOSPITAL
111333	JEFF DAVIS HOSPITAL
111334	CANDLER COUNTY HOSPITAL
111335	LIBERTY REGIONAL MEDICAL CENTER
111336	MOUNTAIN LAKES MEDICAL CENTER
120001	THE QUEENS MEDICAL CENTER
120002	MAUI MEMORIAL MEDICAL CENTER
120004	WAHIAWA GENERAL HOSPITAL
120005	HILO MEDICAL CENTER
120006	CASTLE MEDICAL CENTER
120007	KUAKINI MEDICAL CENTER
120011	KAISER FOUNDATION HOSPITAL
120014	WILCOX MEMORIAL HOSPITAL
120019	KONA COMMUNITY HOSPITAL
120022	STRAUB CLINIC AND HOSPITAL
120026	PALI MOMI MEDICAL CENTER
120028	NORTH HAWAII COMMUNITY HOSPITAL
121300	KAUAI VETERANS MEMORIAL HOSPITAL
121303	MOLOKAI GENERAL HOSPITAL
121304	KAHUKU MEDICAL CENTER
121306	SAMUEL MAHELONA MEMORIAL HOSPITAL
121308	KULA HOSPITAL
130002	ST LUKE'S MAGIC VALLEY RMC
130003	ST JOSEPH REGIONAL MEDICAL CENTER
130006	ST LUKE'S REGIONAL MEDICAL CENTER
130007	ST ALPHONSUS REGIONAL MEDICAL CENTER
130013	SAINT ALPHONSUS MEDICAL CENTER - NAMPA
130014	WEST VALLEY MEDICAL CENTER
130018	EASTERN IDAHO REGIONAL MEDICAL CENTER
130025	MADISON MEMORIAL HOSPITAL
130028	PORTNEUF MEDICAL CENTER
13003F	BOISE VA MEDICAL CENTER
130049	KOOTENAI MEDICAL CENTER
130063	TREASURE VALLEY HOSPITAL
130065	MOUNTAIN VIEW HOSPITAL
130066	NORTHWEST SPECIALTY HOSPITAL
130067	IDAHO DOCTORS HOSPITAL
131301	BOUNDARY COMMUNITY HOSPITAL
131302	NORTH CANYON MEDICAL CENTER
131303	ONEIDA COUNTY HOSPITAL
131304	HARMS MEMORIAL HOSPITAL
131305	STEELE MEMORIAL MEDICAL CENTER
131307	WEISER MEMORIAL HOSPITAL
131308	CASCADE MEDICAL CENTER
131310	ST LUKE'S JEROME
131311	ST LUKE'S ELMORE MEDICAL CENTER
131312	ST LUKE'S MCCALL
131314	SHOSHONE MEDICAL CENTER
131315	SYRINGA GENERAL HOSPITAL
131316	BEAR LAKE MEMORIAL HOSPITAL
131317	BENEWAH COMMUNITY HOSPITAL
131319	MINIDOKA MEMORIAL HOSPITAL
131320	CLEARWATER VALLEY HOSPITAL & CLINICS
131321	ST MARY'S HOSPITAL
131322	FRANKLIN COUNTY MEDICAL CENTER
131323	ST LUKE'S WOOD RIVER MEDICAL CENTER
131324	LOST RIVERS HOSPITAL
131325	BINGHAM MEMORIAL HOSPITAL
131326	CASSIA REGIONAL MEDICAL CENTER
131327	GRITMAN MEDICAL CENTER
131328	BONNER GENERAL HOSPITAL
140001	GRAHAM HOSPITAL ASSOCIATION
140002	ALTON MEMORIAL HOSPITAL
140007	PRESENCE SAINT JOSEPH MEDICAL CENTER
140008	LOYOLA GOTTLIEB MEMORIAL HOSPITAL
140010	EVANSTON HOSPITAL
140011	HERRIN HOSPITAL
